sampleSize,timing,keycomp
1416000,970350386,28437910
1421000,966826078,28546068
1426000,985217183,28652007
1431000,952320062,28758780
1436000,1053088980,28864100
1441000,952448811,28972303
1446000,1098376262,29079932
1451000,1200995089,29184322
1456000,1020548214,29291216
1461000,960871368,29397845
1466000,1015150272,29506515
1471000,968345242,29609875
1476000,1004374022,29719861
1481000,966419650,29825722
1486000,1013647191,29930643
1491000,997654852,30037484
1496000,1017868851,30145237
1501000,1003235499,30249255
1506000,1023750374,30357900
1511000,1009253799,30464627
1516000,1007325012,30570831
1521000,975084915,30677959
1526000,1021502837,30783515
1531000,982967506,30889756
1536000,1005745370,30994579
1541000,1021502085,31103738
1546000,1085822836,31210994
1551000,991141594,31315713
1556000,1022191840,31423993
1561000,1003474360,31531131
1566000,1009130018,31636227
1571000,1088857885,31744036
1576000,1123691934,31854285
1581000,1080504784,31962603
1586000,1054202501,32070231
1591000,1129186426,32177929
1596000,1032987112,32289339
1601000,1015591833,32396990
1606000,1060743709,32506857
1611000,1064869711,32617241
1616000,1062400286,32720716
1621000,1086634492,32835355
1626000,1133562577,32942362
1631000,1046101320,33050664
1636000,1068056893,33160932
1641000,1072316761,33269330
1646000,1105347616,33381906
1651000,1064329945,33487621
1656000,1095945249,33597472
1661000,1092279962,33705474
1666000,1096847281,33815491
1671000,1097246944,33922174
1676000,1121062167,34033123
1681000,1067389225,34146036
1686000,1136848319,34252773
1691000,1103135057,34362225
1696000,1096877463,34470828
1701000,1090671808,34579553
1706000,1131013316,34686551
1711000,1140224457,34798951
1716000,1155853247,34904435
1721000,1096368401,35015150
1726000,1071464381,35124035
1731000,1130313161,35233930
1736000,1116885963,35343744
1741000,1196347280,35452789
1746000,1126926789,35559369
1751000,1143931177,35671341
1756000,1151919082,35779061
1761000,1109479037,35889653
1766000,1113167880,35998755
1771000,1161618523,36106048
1776000,1146784455,36220158
1781000,1121162188,36328587
1786000,1115253019,36435638
1791000,1158466506,36545076
1796000,1168053091,36654997
1801000,1143964151,36762015
1806000,1169803668,36873455
1811000,1146501259,36982369
1816000,1158851030,37092563
1821000,1152926125,37199027
1826000,1149397617,37312060
1831000,1151288918,37420880
1836000,1192331617,37529186
1841000,1200656052,37641042
1846000,1143386827,37750290
1851000,1198911749,37866160
1856000,1261326511,37974699
1861000,1200955155,38088094
1866000,1319197582,38195765
1871000,1226257360,38308027
1876000,1418998150,38420708
1881000,1448488984,38533227
1886000,1321209837,38646119
1891000,1401187068,38760381
1896000,1402929042,38866835
1901000,1304455938,38977504
1906000,1290398440,39091755
1911000,1326783562,39201760
1916000,1223929748,39315968
1921000,1175908191,39428676
1926000,1240089029,39538933
1931000,1240763780,39652509
1936000,1288680957,39759837
1941000,1273949664,39874230
1946000,1177194847,39985399
1951000,1277729183,40098194
1956000,1180636768,40213337
1961000,1215484973,40320180
1966000,1246945261,40431546
1971000,1217015764,40548011
1976000,1264089161,40659704
1981000,1230324792,40771395
1986000,1254690851,40881733
1991000,1345967848,40994355
1996000,1355656641,41105176
2001000,1279158165,41215325
2006000,1271762052,41326424
2011000,1250659036,41440790
2016000,1284848401,41551587
2021000,1240058822,41662162
2026000,1281182839,41777493
2031000,1260319165,41890252
2036000,1280809303,41997156
2041000,1266351472,42108345
2046000,1280826660,42221318
2051000,1281436569,42333427
2056000,1251764646,42452817
2061000,1334909045,42558073
2066000,1399988983,42670030
2071000,1295335336,42781768
2076000,1294124273,42891151
2081000,1286749939,43003774
2086000,1267390215,43119841
2091000,1367336979,43225497
2096000,1319674161,43342463
2101000,1385999558,43456090
2106000,1400654439,43571013
2111000,1391645024,43684589
2116000,1385913425,43794382
2121000,1388386205,43913561
2126000,1309199045,44023859
2131000,1319229796,44141356
2136000,1393533682,44256644
2141000,1346264341,44366860
2146000,1372343659,44488616
2151000,1351048341,44597265
2156000,1347459177,44713371
2161000,1422819689,44826962
2166000,1340075952,44937792
2171000,1334302359,45055463
2176000,1421651997,45169665
2181000,1393756006,45283579
2186000,1373277451,45400388
2191000,1396266239,45515846
2196000,1400746080,45624689
2201000,1370245518,45737828
2206000,1392810085,45856786
2211000,1387803599,45971844
2216000,1384838328,46085341
2221000,1403267896,46202421
2226000,1440022695,46310317
2231000,1391813634,46428253
2236000,1377254215,46540078
2241000,1399334651,46655614
2246000,1370923319,46768899
2251000,1390276750,46885828
2256000,1419243338,47002842
2261000,1411020788,47111847
2266000,1368408311,47228762
2271000,1438796295,47340824
2276000,1459893077,47455261
2281000,1411708025,47571408
2286000,1428858449,47685955
2291000,1463157152,47797592
2296000,1445634060,47916558
2301000,1460724031,48027827
2306000,1499399529,48144627
2311000,1520821794,48256335
2316000,1451420775,48373746
2321000,1444377195,48484626
2326000,1475377136,48604055
2331000,1551163175,48717362
2336000,1511976956,48828135
2341000,1507103837,48946992
2346000,1459963213,49056938
2351000,1515684866,49174902
2356000,1504882550,49288260
2361000,1511816973,49399005
2366000,1489012044,49512132
2371000,1462449051,49616797
2376000,1510411280,49720792
2381000,1886113763,49831569
2386000,1583893632,49937847
2391000,1535770575,50049970
2396000,1530457104,50157249
2401000,1584531050,50263406
2406000,1522719989,50371043
2411000,1510514213,50480844
2416000,1591348451,50585336
2421000,1565455859,50691595
2426000,1579965352,50801685
2431000,1583765461,50911705
2436000,1601669167,51014893
2441000,1594850966,51128295
2446000,1622843322,51234650
2451000,1624488461,51344443
2456000,1643617783,51454141
2461000,1609474899,51557012
2466000,1669432545,51666634
2471000,1637480864,51771966
2476000,1680079923,51882193
2481000,1735432739,51991131
2486000,1740673035,52094354
2491000,1717516946,52206400
2496000,1663010807,52311970
2501000,1734252561,52421426
2506000,1715780517,52530055
2511000,1714439014,52637674
2516000,1727003984,52745774
2521000,1728686464,52850697
2526000,1893759078,52959847
2531000,1862111368,53070114
2536000,1884872761,53174060
2541000,1780616241,53284975
2546000,1760278799,53395048
2551000,1795189654,53500861
2556000,1738652849,53608874
2561000,1801933585,53717665
2566000,2224838432,53826718
2571000,2109007705,53932276
2576000,2424392947,54040107
2581000,1951405897,54148376
2586000,1925928384,54256860
2591000,1888171423,54366585
2596000,1993030798,54475563
2601000,1935075495,54579646
2606000,2406362063,54686651
2611000,2438592726,54795854
2616000,2102952997,54904336
2621000,2116675363,55014754
2626000,2410952381,55121713
2631000,2169152092,55234733
2636000,2296381175,55344204
2641000,2200953593,55458595
2646000,2301596502,55567664
2651000,2123295513,55680937
2656000,2202209575,55791512
2661000,2441851476,55904551
2666000,2319100795,56015304
2671000,2243393543,56123542
2676000,2138257503,56239792
2681000,2253151700,56346187
2686000,2315988418,56462093
2691000,2050898237,56570152
2696000,1943074279,56679719
2701000,2070960536,56793030
2706000,2016984797,56905777
2711000,2044963236,57017718
2716000,1957285010,57128687
2721000,1974164322,57237570
2726000,2122681523,57347790
2731000,2047048444,57462909
2736000,1984021130,57573002
2741000,2223549653,57684911
2746000,2265777604,57796611
2751000,2178239987,57906007
2756000,2201086722,58017639
2761000,2058392476,58129103
2766000,2420664496,58241413
2771000,2345651357,58352061
2776000,2094763837,58467656
2781000,2235759254,58578745
2786000,2043127177,58687863
2791000,2078402348,58796830
2796000,2246269778,58909922
2801000,2089771502,59018832
2806000,2066806438,59132235
2811000,1995249036,59243871
2816000,1989904916,59354023
2821000,2216981013,59466611
2826000,2989102897,59579528
2831000,2377195047,59687205
2836000,2589099050,59797666
2841000,2740820204,59911934
2846000,2859027505,60024830
2851000,2441241129,60134454
2856000,2360498322,60247085
2861000,2463740271,60356614
2866000,2567558668,60468013
2871000,2294707238,60580403
2876000,3087398289,60692036
2881000,2700646161,60803281
2886000,2538060268,60914688
2891000,2475074238,61027200
2896000,2136086692,61142585
2901000,2155767384,61250230
2906000,2142745857,61363760
2911000,2098746088,61473004
2916000,2132754140,61584790
2921000,2573791236,61697106
2926000,2503175303,61807185
2931000,2202418200,61919093
2936000,2072462156,62032700
2941000,2340389092,62140460
2946000,2150933737,62254120
2951000,2120093716,62364872
2956000,2210224603,62475584
2961000,2208894790,62593899
2966000,2242017140,62700489
2971000,2154711366,62812631
2976000,2100299263,62924629
2981000,2145909998,63034963
2986000,2161222705,63145122
2991000,2414528728,63256486
2996000,2380770318,63367453
3001000,2432361920,63479996
3006000,2252692546,63595142
3011000,2363807193,63708359
3016000,2228249085,63816548
3021000,2095233645,63927752
3026000,2101545476,64037032
3031000,2225359801,64149383
3036000,2163629478,64263714
3041000,2130963695,64370790
3046000,2145709332,64487945
3051000,2113019341,64597566
3056000,2166519669,64710800
3061000,2136799007,64821842
3066000,2138460974,64932203
3071000,2089642692,65043469
3076000,2136143538,65155450
3081000,2256138913,65270039
3086000,2301046788,65380858
3091000,2366287684,65493397
3096000,2309709767,65603715
3101000,2582078275,65718099
3106000,2602158687,65824417
3111000,2505974569,65937800
3116000,2733669891,66048650
3121000,2281688054,66161177
3126000,2254261690,66271124
3131000,2433470021,66385832
3136000,2441371839,66495775
3141000,2332923291,66608328
3146000,2160377324,66717890
3151000,2129884519,66834044
3156000,2140344703,66949927
3161000,2126185433,67061159
3166000,2139329282,67176650
3171000,2234983224,67289487
3176000,2244194166,67403633
3181000,2148541310,67517353
3186000,2190308836,67631550
3191000,2374686575,67744392
3196000,2151827067,67863641
3201000,2174604886,67973423
3206000,2176437371,68087618
3211000,2169700039,68204041
3216000,2207331713,68312586
3221000,2129159931,68428724
3226000,2236905171,68544554
3231000,2220569876,68657967
3236000,2100024994,68775115
3241000,2268853016,68888423
3246000,2237575562,69001759
3251000,2223673625,69114643
3256000,2170642186,69226246
3261000,2294241551,69340902
3266000,2355138526,69458495
3271000,2359664347,69573137
3276000,2277764318,69686315
3281000,2280229489,69797158
3286000,2227678877,69917669
3291000,2199068004,70026485
3296000,2216593372,70141799
3301000,2200597913,70255647
3306000,2300965528,70370382
3311000,2201435974,70484723
3316000,2256273119,70600902
3321000,2282094509,70713015
3326000,2284189447,70825008
3331000,2258532956,70937571
3336000,2240344234,71052136
3341000,2237094482,71168973
3346000,2348791406,71282042
3351000,2388054381,71395339
3356000,2425627332,71510823
3361000,2349922998,71624974
3366000,2308996273,71738027
3371000,2257611631,71850220
3376000,2278501783,71966620
3381000,2613680680,72079617
3386000,2473236448,72189974
3391000,2443872573,72307610
3396000,2383267425,72424421
3401000,2488547672,72535306
3406000,2359986448,72653320
3411000,2566828681,72764549
3416000,2548859663,72878048
3421000,2485898598,72993361
3426000,2375349826,73110956
3431000,2254769795,73223051
3436000,2362187729,73342025
3441000,2408058322,73448304
3446000,2485261890,73564481
3451000,2365956345,73680842
3456000,2725382333,73793153
3461000,2531232936,73910160
3466000,2358010044,74023583
3471000,2281195837,74135375
3476000,2315948875,74250240
3481000,2301185261,74361857
3486000,2268621488,74479407
3491000,2305574430,74592925
3496000,2309523935,74708100
3501000,2332165305,74821428
3506000,2430403188,74934372
3511000,2549357870,75051820
3516000,2520422878,75167994
3521000,2410657815,75280802
3526000,2446989458,75391477
3531000,2429642959,75506471
3536000,2421051008,75622597
3541000,2378053002,75735501
3546000,2355029753,75847799
3551000,2352713534,75964311
3556000,2434293143,76077353
3561000,2403191348,76191776
3566000,2402523460,76308634
3571000,2741085465,76421086
3576000,2941662532,76535142
3581000,2712160158,76650957
3586000,2497548015,76762150
3591000,2446717581,76875772
3596000,2469123067,76993609
3601000,2505563861,77109250
3606000,2446515621,77220038
3611000,2434022406,77336593
3616000,2480504115,77448334
3621000,2498513658,77561765
3626000,2460526390,77680165
3631000,2528438345,77791379
3636000,2579898956,77907043
3641000,2805038410,78019486
3646000,2651275808,78136397
3651000,2754323109,78248575
3656000,2860386350,78363768
3661000,2573519486,78476198
3666000,2847803813,78590512
3671000,2626719387,78706541
3676000,2584725999,78821021
3681000,2545941433,78942723
3686000,2579349589,79059041
3691000,2783401920,79175493
3696000,2773860640,79291777
3701000,2761699902,79404276
3706000,2724596991,79523831
3711000,2682762227,79644519
3716000,2482722843,79755841
3721000,2517971527,79871393
3726000,2721401155,79993319
3731000,2673275189,80108197
3736000,2777099099,80220258
3741000,2958421682,80340800
3746000,3094189535,80457470
3751000,2796146018,80574813
3756000,3117631468,80688128
3761000,2955948176,80810396
3766000,2798455589,80923851
3771000,2945470198,81042139
3776000,2814806603,81158563
3781000,2604465978,81270627
3786000,2604295551,81393584
3791000,2576508937,81510290
3796000,2557954602,81621197
3801000,2734290056,81738031
3806000,2580412135,81852254
3811000,2537278728,81976525
3816000,2613459703,82088589
3821000,2568377917,82206160
3826000,2570929837,82321644
3831000,2583964420,82441952
3836000,2629835387,82558758
3841000,2645992652,82674576
3846000,2607507489,82795064
3851000,2602194398,82909130
3856000,2692967805,83027295
3861000,2629475035,83144791
