sampleSize,timing,keycomp
1356000,2042291723,28652910
1361000,2052272468,28765760
1366000,2043309867,28877299
1371000,1997429506,28991554
1376000,2049563601,29103920
1381000,2071679054,29217565
1386000,2051829674,29330462
1391000,2194005321,29442322
1396000,2060893373,29556308
1401000,2087505724,29668518
1406000,2135793403,29783454
1411000,2155034007,29894718
1416000,2200514127,30008818
1421000,2164741122,30120182
1426000,2195342145,30233828
1431000,2038316344,30348806
1436000,2086085253,30462695
1441000,2225795251,30574116
1446000,2161175491,30687451
1451000,2277421514,30802325
1456000,2106619741,30914799
1461000,2152607302,31027076
1466000,2151890379,31139738
1471000,2212962634,31252655
1476000,2161187240,31366313
1481000,2198164539,31480909
1486000,2237610469,31593259
1491000,2172196501,31707394
1496000,2210814140,31821403
1501000,2244519068,31933976
1506000,2262666801,32047453
1511000,2244888016,32159325
1516000,2265944817,32272778
1521000,2181040684,32386822
1526000,2269760333,32499459
1531000,2259439926,32612285
1536000,2322173411,32725685
1541000,2280316959,32840017
1546000,2395494909,32952616
1551000,2340395596,33067193
1556000,2311926797,33179536
1561000,2432372468,33294146
1566000,2404195312,33407846
1571000,2339396115,33518988
1576000,2394416780,33634237
1581000,2371974398,33748402
1586000,2314870525,33862669
1591000,2367535405,33976352
1596000,2748832366,34090683
1601000,2373168318,34205734
1606000,2464119566,34317802
1611000,2401410341,34434529
1616000,2349402915,34548527
1621000,2343215384,34661523
1626000,2340696451,34777532
1631000,2385666445,34890127
1636000,2434549047,35005661
1641000,2390689499,35119330
1646000,2424215273,35234833
1651000,2457680290,35346966
1656000,2484202890,35462987
1661000,2474227121,35576787
1666000,2520233727,35690535
1671000,2416886965,35804282
1676000,2462095345,35919111
1681000,2502051135,36033869
1686000,2419766654,36147592
1691000,2518679597,36261844
1696000,2641741474,36376371
1701000,2607818379,36490040
1706000,2433127931,36604657
1711000,2517203322,36720377
1716000,2538351104,36835323
1721000,2797523782,36947657
1726000,2969454355,37062105
1731000,3142534043,37175857
1736000,2617222437,37291920
1741000,2582534213,37405935
1746000,2660700473,37521790
1751000,3013945056,37636275
1756000,3225581609,37749702
1761000,2847437551,37864794
1766000,3108845473,37978529
1771000,2965290190,38092581
1776000,3115644493,38208144
1781000,2947050114,38322241
1786000,2853909891,38436607
1791000,3069340412,38549658
1796000,3209223777,38665222
1801000,3065033329,38782303
1806000,2927337881,38895739
1811000,3109143490,39008825
1816000,2784939703,39124018
1821000,2720243063,39238000
1826000,2761237302,39353565
1831000,2709836732,39468635
1836000,2627927610,39581932
1841000,2808320027,39695905
1846000,2735617269,39810214
1851000,2690023225,39927132
1856000,3101763481,40040719
1861000,2906366549,40156320
1866000,2948155387,40270991
1871000,2913608644,40384723
1876000,3271757432,40499969
1881000,2836497325,40614688
1886000,2889130083,40730165
1891000,2783662624,40844435
1896000,2998431067,40959077
1901000,2802859562,41074484
1906000,2728753490,41188250
1911000,2697016060,41303812
1916000,3378620607,41418711
1921000,3630950210,41533487
1926000,3483222534,41648742
1931000,3638225345,41762869
1936000,3571082782,41878057
1941000,3306259226,41993221
1946000,3451573612,42107385
1951000,3206386487,42221930
1956000,4134223994,42335859
1961000,3500526753,42451497
1966000,3407277821,42566565
1971000,2951268386,42681638
1976000,2943230449,42796820
1981000,2836260925,42913016
1986000,3018464938,43027317
1991000,3490804276,43141437
1996000,3124087164,43256135
2001000,2886105861,43372531
2006000,3088630330,43486111
2011000,2950349076,43601522
2016000,3019966594,43716749
2021000,3042090122,43832917
2026000,2987094890,43945831
2031000,2917655367,44061407
2036000,2940404578,44175586
2041000,3317761281,44290524
2046000,3366250097,44406664
2051000,3165886224,44522001
2056000,3295760766,44638514
2061000,2966328626,44751651
2066000,2896043398,44865867
2071000,3105080953,44981261
2076000,2960665069,45096282
2081000,2938732705,45210840
2086000,3096634136,45326977
2091000,3036528698,45442158
2096000,2962785575,45556046
2101000,3089540623,45674951
2106000,3148709426,45790279
2111000,3350490306,45907076
2116000,3202089862,46023423
2121000,3683476969,46141029
2126000,3584295881,46257701
2131000,3883835070,46374991
2136000,3151865272,46491574
2141000,3304820389,46608583
2146000,3575867457,46726268
2151000,3190749371,46844031
2156000,3124858362,46959636
2161000,3172542810,47078048
2166000,3112581976,47196111
2171000,3293652694,47311144
2176000,3107382081,47427349
2181000,3283034240,47545516
2186000,3290727188,47663236
2191000,3228575437,47779755
2196000,3134975218,47897039
2201000,3161866278,48015105
2206000,3184844268,48129397
2211000,3252061091,48247243
2216000,3218403513,48364543
2221000,3386516954,48480550
2226000,3210622668,48598791
2231000,3375601032,48715117
2236000,3504780366,48833613
2241000,3394723880,48949926
2246000,3381823234,49068140
2251000,3279665902,49184574
2256000,3246243642,49301260
2261000,3348419458,49418917
2266000,3252693740,49536290
2271000,3349382637,49652429
2276000,3376186308,49770440
2281000,3315442476,49888097
2286000,3344533762,50004901
2291000,3468149566,50121868
2296000,3590654852,50238256
2301000,3471468664,50356621
2306000,3474270907,50472718
2311000,3373104005,50589962
2316000,3720602345,50707889
2321000,3635804537,50823952
2326000,3574839228,50941129
2331000,3711110741,51058404
2336000,3865528648,51176950
2341000,3833151080,51293122
2346000,3533705392,51409590
2351000,3555796949,51527079
2356000,3686318513,51644271
2361000,3615463374,51760911
2366000,4045427900,51879848
2371000,3684962982,51995877
2376000,3364592244,52113110
2381000,3578156857,52232550
2386000,3512875420,52350267
