sampleSize,hybridSort,keycomp
352,736881,30981
353,707338,31158
354,702538,31334
355,738800,31512
356,750399,31689
357,758174,31868
358,724433,32046
359,785916,32226
360,761257,32405
361,751389,32586
362,761778,32766
363,797085,32948
364,759842,33129
365,782180,33312
366,761255,33494
367,798907,33678
368,767521,33861
369,818699,34046
370,805992,34230
371,789294,34416
372,815225,34601
373,829738,34788
374,806632,34974
375,884704,35162
376,706210,35349
377,987727,35538
378,995793,35726
379,999239,35916
380,1011119,36105
381,718617,36296
382,994528,36486
383,1006900,36678
384,973668,36869
385,1009784,37062
386,993569,37254
387,1002091,37448
388,1001481,37641
389,1041616,37836
390,1075347,38030
391,1076778,38226
392,1066617,38421
393,1080857,38618
394,1098941,38814
395,1087700,39012
396,1069112,39209
397,1213969,39408
398,1201369,39606
399,1202689,39806
400,1123753,40005
401,1154732,40206
402,1140484,40406
403,1108168,40608
404,1360726,40809
405,1346107,41012
406,1212556,41214
407,1443871,41418
408,1225434,41621
409,1563106,41826
410,1910283,42030
411,1965611,42236
412,1998062,42441
413,2573008,42648
414,2580025,42854
415,2586505,43062
416,2509672,43269
417,1979663,43478
418,1523314,43686
419,1811698,43896
420,1881687,44105
421,1435205,44316
422,1085249,44526
423,1203863,44738
424,1217662,44949
425,1146873,45162
426,1314298,45374
427,1776391,45588
428,2057831,45801
429,1870462,46016
430,1979635,46230
431,1907221,46446
432,2067651,46661
433,2063061,46878
434,2054018,47094
435,1368920,47312
436,1267384,47529
437,1298138,47748
438,1309784,47966
439,1329871,48186
440,1240582,48405
441,1301381,48626
442,1313485,48846
443,1300309,49068
444,1304333,49289
445,1318255,49512
446,1409252,49734
447,1586141,49958
448,1391631,50181
449,1411433,50406
450,1431872,50630
451,1411186,50856
452,1555965,51081
453,1415540,51308
454,1476158,51534
455,1337289,51762
456,1331801,51989
457,1433340,52218
458,1407412,52446
459,1381698,52676
460,1385184,52905
461,1356902,53136
462,1372211,53366
463,1378879,53598
464,1388876,53829
465,1378015,54062
466,1388558,54294
467,1430317,54528
468,1619778,54761
469,1470098,54996
470,1468265,55230
471,1502626,55466
472,2701976,55701
473,2012534,55938
474,1515020,56174
475,1529891,56412
476,1521488,56649
477,1307320,56888
478,1585851,57126
479,1584286,57366
480,1740886,57605
481,1622097,57846
482,1613464,58086
483,2125319,58328
484,1597118,58569
485,1587537,58812
486,1771544,59054
487,1644934,59298
488,1660339,59541
489,1689578,59786
490,1679181,60030
491,1678223,60276
492,1712813,60521
493,2693474,60768
494,2552353,61014
495,1707516,61262
496,1626263,61509
497,1711098,61758
498,1741921,62006
499,1687356,62256
500,1674437,62505
501,1709178,62756
502,1675526,63006
503,1773711,63258
504,1492771,63509
505,1498522,63762
506,1460569,64014
507,1520814,64268
508,1499676,64521
509,1504231,64776
510,1435644,65030
511,1494707,65286
512,1541673,65541
513,1509616,65798
514,1958323,66054
515,1520215,66312
516,1529770,66569
517,1522040,66828
518,1544424,67086
519,1498611,67346
520,1517660,67605
521,1511289,67866
522,1525748,68126
523,1533957,68388
524,1554151,68649
525,1529112,68912
526,1545374,69174
527,1542347,69438
528,1568490,69701
529,1588064,69966
530,1561555,70230
531,1575913,70496
532,1607058,70761
533,1594552,71028
534,1731198,71294
535,1858725,71562
536,1685257,71829
537,1621972,72098
538,1625418,72366
539,1633458,72636
540,1636767,72905
541,1630735,73176
542,1649744,73446
543,1820955,73718
544,1918400,73989
545,1873442,74262
546,1973459,74534
547,1997663,74808
548,2146442,75081
549,1858861,75356
550,1930195,75630
551,2043981,75906
552,1872089,76181
553,2406923,76458
554,2622034,76734
555,3294600,77012
556,2602683,77289
557,3635243,77568
558,3326992,77846
559,3441228,78126
560,3667211,78405
561,2665682,78686
562,2305663,78966
563,2317002,79248
564,2221605,79529
565,2587791,79812
566,3171577,80094
567,2474993,80378
568,2427763,80661
569,2538738,80946
570,2426031,81230
571,2125944,81516
572,2280199,81801
573,2635161,82088
574,3064388,82374
575,3528447,82662
576,4250598,82949
577,4100040,83238
578,3702769,83526
579,1964430,83816
580,3505483,84105
581,2101937,84396
582,1986985,84686
583,2000844,84978
584,2056602,85269
585,1994355,85562
586,2048906,85854
587,2082293,86148
588,2054666,86441
589,2097627,86736
590,2054473,87030
591,2182160,87326
592,3247785,87621
593,3345303,87918
594,2806143,88214
595,2716051,88512
596,2883852,88809
597,2662585,89108
598,2618535,89406
599,2667964,89706
600,2645945,90005
601,2644459,90306
602,2527676,90606
603,2648051,90908
604,2822026,91209
605,2764215,91512
606,2734013,91814
607,2693958,92118
608,2704910,92421
609,2730782,92726
610,2741374,93030
611,2129829,70084
612,1421560,47137
613,1450418,47292
614,1430271,47446
615,1430294,47600
616,1226573,47753
617,1369993,47909
618,1593969,48064
619,1512302,48219
620,2795410,48373
621,2812591,48530
622,3325691,48686
623,2953322,48842
624,1797935,48997
625,2001275,49155
626,2505457,49312
627,2418714,49469
628,2345799,49625
629,1513829,49784
630,1667635,49942
631,3711461,50100
632,1959857,50257
633,1407523,50417
634,1511829,50576
635,1519931,50735
636,2187676,50893
637,1604671,51054
638,1566985,51214
639,1819650,51374
640,1413557,51533
641,2574359,51695
642,2851406,51856
643,2513506,52017
644,1390284,52177
645,1808845,52340
646,1653065,52502
647,748823,52664
648,1232796,52825
649,1416165,52989
650,1283402,53152
651,1260561,53315
652,1408420,53477
653,1560496,53642
654,1627003,53806
655,1622949,53970
656,2893896,54133
657,3779002,54299
658,3962108,54464
659,2324704,54629
660,2248595,54793
661,3352238,54960
662,3039316,55126
663,2496503,55292
664,1594873,55457
665,2419230,55625
666,2553243,55792
667,2492019,55959
668,2215898,56125
669,3214400,56294
670,2565687,56462
671,3091127,56630
672,2924364,56797
673,3469860,56967
674,3328972,57136
675,2995359,57305
676,3322710,57473
677,3316679,57644
678,3349127,57814
679,3759736,57984
680,2749352,58153
681,3182064,58325
682,4255478,58496
683,2932752,58667
684,2008207,58837
685,2025592,59010
686,1732871,59182
687,1665135,59354
688,1659187,59525
689,1629013,59699
690,1701652,59872
691,1716655,60045
692,1712037,60217
693,1750662,60392
694,1779214,60566
695,1748717,60740
696,2802547,60913
697,2394108,61089
698,1710648,61264
699,1751063,61439
700,1811349,61613
701,1851039,61790
702,1761499,61966
703,1761958,62142
704,1744692,62317
705,1705064,62495
706,1807430,62672
707,1813428,62849
708,2545710,63025
709,2916814,63204
710,2984783,63382
711,2646487,63560
712,1844279,63737
713,1837725,63917
714,1829628,64096
715,1955301,64275
716,1867144,64453
717,1811330,64634
718,1783986,64814
719,1806138,64994
720,1890983,65173
721,1874885,65355
722,1809852,65536
723,1998730,65717
724,1830767,65897
725,1984836,66080
726,2052437,66262
727,1797236,66444
728,1758583,66625
729,1924275,66809
730,1890748,66992
731,2685360,67175
732,2917937,67357
733,2972514,67542
734,3041930,67726
735,2906082,67910
736,3465243,68093
737,2163280,68279
738,2112615,68464
739,1964959,68649
740,2040098,68833
741,2047307,69020
742,2072376,69206
743,2245783,69392
744,2814384,69577
745,3948691,69765
746,2560796,69952
747,2582995,70139
748,2419293,70325
749,2574379,70514
750,2405250,70702
751,2532697,70890
752,2140083,71077
753,2513949,71267
754,2404204,71456
755,2248489,71645
756,2620892,71833
757,2033109,72024
758,3514623,72214
759,2205309,72404
760,1957588,72593
761,1918373,72785
762,2020911,72976
763,2217751,73167
764,2355008,73357
765,2489564,73550
766,2385957,73742
767,1986776,73934
768,2458695,74125
769,2292641,74319
770,2406345,74512
771,2631679,74705
772,2430001,74897
773,2592406,75092
774,2553642,75286
775,2808168,75480
776,2510701,75673
777,2548311,75869
778,2362831,76064
779,2653827,76259
780,2450159,76453
781,2661270,76650
782,2526322,76846
783,2715855,77042
784,2720841,77237
785,2523627,77435
786,2430896,77632
787,2617020,77829
788,2256282,78025
789,2243622,78224
790,2278156,78422
791,2332165,78620
792,2311647,78817
793,2335457,79017
794,2220571,79216
795,3403727,79415
796,2740529,79613
797,2711332,79814
798,2733568,80014
799,3329961,80214
800,4532584,80413
