sampleSize,mergeSort,keycomp
369,729199,2407
370,694261,2414
371,681024,2421
372,677088,2427
373,677615,2434
374,686546,2440
375,694649,2446
376,688816,2451
377,727659,2458
378,926153,2464
379,619320,2470
380,980206,2475
381,740282,2481
382,699946,2486
383,867275,2491
384,938640,2495
385,860218,2505
386,609335,2514
387,688159,2523
388,924410,2531
389,992063,2540
390,1034284,2548
391,1080257,2556
392,1074230,2563
393,1067346,2572
394,1068436,2580
395,1061006,2588
396,1208879,2595
397,1166837,2603
398,1164032,2610
399,1180312,2617
400,1172457,2623
401,1185441,2632
402,1168134,2640
403,719649,2648
404,725972,2655
405,733333,2663
406,736095,2670
407,848000,2677
408,805364,2683
409,719500,2691
410,718926,2698
411,737499,2705
412,721068,2711
413,743648,2718
414,813738,2724
415,893346,2730
416,737562,2735
417,743421,2744
418,671265,2752
419,819109,2760
420,933670,2767
421,762544,2775
422,751417,2782
423,764290,2789
424,738863,2795
425,763641,2803
426,790289,2810
427,913148,2817
428,759673,2823
429,753443,2830
430,753078,2836
431,755277,2842
432,764147,2847
433,898839,2855
434,776273,2862
435,782490,2869
436,766482,2875
437,775754,2882
438,762093,2888
439,797635,2894
440,655897,2899
441,738985,2906
442,690967,2912
443,691455,2918
444,704260,2923
445,696507,2929
446,665084,2934
447,717395,2939
448,784300,2943
449,683413,2952
450,694275,2960
451,698205,2968
452,688286,2975
453,707226,2983
454,656678,2990
455,685380,2997
456,683987,3003
457,679204,3011
458,685659,3018
459,707232,3025
460,668490,3031
461,721321,3038
462,633446,3044
463,663470,3050
464,629143,3055
465,637594,3063
466,1056034,3070
467,1070191,3077
468,939956,3083
469,832949,3090
470,821841,3096
471,814149,3102
472,847644,3107
473,784849,3114
474,827955,3120
475,833276,3126
476,824099,3131
477,806423,3137
478,846879,3142
479,858664,3147
480,941612,3151
481,828617,3159
482,837247,3166
483,852607,3173
484,1026348,3179
485,852133,3186
486,855561,3192
487,831220,3198
488,840813,3203
489,840331,3210
490,849044,3216
491,963614,3222
492,835912,3227
493,896595,3233
494,845047,3238
495,994492,3243
496,855794,3247
497,853429,3254
498,884384,3260
499,939629,3266
500,932795,3271
501,932399,3277
502,942231,3282
503,907160,3287
504,915099,3291
505,942152,3297
506,959100,3302
507,947106,3307
508,938199,3311
509,930082,3316
510,950010,3320
511,965059,3324
512,949524,3327
513,965219,3339
514,964402,3350
515,1018698,3361
516,972034,3371
517,958752,3382
518,1024574,3392
519,981362,3402
520,973463,3411
521,980860,3422
522,986457,3432
523,990456,3442
524,984277,3451
525,987736,3461
526,997943,3470
527,969469,3479
528,950632,3487
529,958175,3498
530,964319,3508
531,1004508,3518
532,974749,3527
533,969294,3537
534,958391,3546
535,994550,3555
536,983984,3563
537,990034,3573
538,1007539,3582
539,1061691,3591
540,993874,3599
541,996054,3608
542,1037570,3616
543,1043318,3624
544,1053016,3631
545,1079518,3642
546,1200358,3652
547,955749,3662
548,939193,3671
549,966191,3681
550,1015597,3690
551,969811,3699
