Array Size,Top Down Time (us),Bottom Up Time (us)
4130,1284,912
4140,2562,1936
4150,872,721
4160,661,623
4170,3214,3879
4180,4434,2438
4190,1361,1227
4200,4159,2173
4210,3309,2504
4220,4950,3931
4230,3762,4040
4240,2216,1667
4250,3531,4380
4260,2922,2158
4270,412,479
4280,2377,1478
4290,2663,1910
4300,2780,2622
4310,3549,2968
4320,5540,2846
4330,2958,2850
4340,3945,1775
4350,4651,2353
4360,1852,1853
4370,5444,2701
4380,4820,4346
4390,3302,3369
4400,5429,3319
4410,4845,2367
4420,3903,3161
4430,4897,3228
4440,4820,2575
4450,2477,3175
4460,3739,3605
4470,2959,1335
4480,4329,3968
4490,3798,3500
4500,5311,2641
4510,4061,4132
4520,3978,3777
4530,1707,1025
4540,3779,3846
4550,1669,1510
4560,3924,4030
4570,4720,4209
4580,4482,2458
4590,5775,3375
4600,4067,4188
4610,2508,2396
4620,5917,3193
4630,1636,2436
4640,1986,1215
4650,2345,1833
4660,2229,1688
4670,4020,2434
4680,1752,1437
4690,5188,3241
4700,1052,1060
4710,2252,966
4720,3100,2918
4730,536,479
4740,3712,4109
4750,2699,1446
4760,2575,1913
4770,5848,3022
4780,2664,3033
4790,1854,1227
4800,1654,1423
4810,1475,1564
4820,6211,4872
4830,5234,3304
4840,5369,2876
4850,669,850
4860,3962,2667
4870,2030,2027
4880,4213,2089
4890,2160,2006
4900,3919,2162
4910,4501,3093
4920,1559,1215
4930,4677,3782
4940,4392,4056
4950,1629,1325
4960,1203,704
4970,2012,1070
4980,1005,788
4990,3132,1585
5000,4630,2729
5010,3578,3824
5020,3937,2307
5030,6764,3928
5040,4105,3523
5050,3220,3732
5060,2854,1799
5070,1315,1072
5080,5716,2792
5090,2226,3367
5100,3400,3301
5110,6302,3200
5120,2963,2901
5130,3270,2332
5140,6587,3403
5150,1824,2535
5160,3232,2530
5170,1412,1631
5180,3215,1996
5190,6114,4508
5200,4349,4118
5210,527,567
5220,558,594
5230,2219,2521
5240,5291,3584
5250,1093,1183
5260,1397,1094
5270,6057,5062
5280,5805,4768
5290,9589,6781
5300,1392,1076
5310,6525,4682
5320,7285,5619
5330,4203,4088
5340,727,593
5350,3193,3684
5360,7892,6679
5370,1463,1183
5380,2505,2366
5390,1325,1155
5400,1681,1445
5410,1157,866
5420,4990,3878
5430,3290,1744
5440,3298,3835
5450,4202,2987
5460,2924,2501
5470,3766,3966
5480,1496,1752
5490,7465,4767
5500,2563,2487
5510,3787,2370
5520,1858,1875
5530,3823,1839
5540,8762,4845
5550,6868,2935
5560,5069,3996
5570,878,718
5580,8837,4701
5590,3597,1769
5600,2198,2392
5610,5122,2986
5620,3759,2388
5630,7096,4899
5640,5249,4024
5650,1393,1477
5660,4856,3262
5670,795,693
5680,8734,4752
5690,2560,2514
5700,4157,5256
5710,4232,3748
5720,5996,5759
5730,1122,640
5740,2074,1702
5750,4155,2003
5760,3925,2630
5770,4243,5129
5780,6263,5576
5790,2842,2030
5800,1735,1769
5810,4578,2257
5820,526,558
5830,4687,3964
5840,1957,1805
5850,4614,3544
5860,1710,1756
5870,5168,3207
5880,4381,4861
5890,6493,2992
5900,3913,3367
5910,971,809
5920,3024,3004
5930,6194,4866
5940,2305,1222
5950,635,620
5960,4578,4430
5970,3939,2867
5980,4077,1529
5990,7923,4364
6000,6352,3413
6010,1770,1799
6020,2484,1860
6030,6415,3697
6040,6311,3716
6050,2777,1735
6060,3686,2240
6070,5927,3776
6080,3471,3790
6090,5546,5161
6100,3194,1873
6110,4441,3570
6120,3272,3245
6130,848,963
6140,3319,5346
6150,1070,1083
6160,1902,1890
6170,3118,2515
6180,3153,2182
6190,2732,1823
6200,8465,4942
6210,10027,7387
6220,1901,1414
6230,7333,4693
6240,9478,5486
6250,6983,3619
6260,2814,2719
6270,5376,3345
6280,5883,3975
6290,9660,4932
6300,5075,2271
6310,2551,2458
6320,5442,4289
6330,7927,6373
6340,4025,3752
6350,7308,6570
6360,1044,935
6370,2714,3501
6380,8195,5687
6390,1512,1445
6400,4290,2445
6410,4953,4776
6420,3219,3923
6430,2680,1844
6440,3586,4278
6450,12208,6400
6460,4324,2219
6470,1416,1308
6480,6794,5105
6490,6361,4878
6500,5598,6937
6510,6361,4210
6520,2404,2286
6530,1799,1813
6540,4262,4262
6550,4683,5737
6560,2753,1527
6570,2819,2574
6580,3995,1930
6590,1065,1035
6600,6624,3806
6610,3598,1688
6620,1723,1428
6630,6293,2799
6640,8664,5118
6650,6086,3876
6660,4815,1689
6670,2206,2209
6680,4579,2912
6690,4766,3109
6700,3984,3795
6710,5005,1798
6720,6398,4442
6730,4155,1674
6740,4672,5076
6750,3314,3020
6760,3717,2020
6770,2603,2858
6780,969,1241
6790,1017,1024
6800,7916,4225
6810,6204,3020
6820,7470,4119
6830,8727,4201
6840,5604,3339
6850,2127,2744
6860,3444,2486
6870,942,794
6880,3099,1519
6890,5939,4119
6900,5718,3074
6910,6796,5813
6920,9345,4420
6930,3839,2875
6940,4182,5743
6950,5451,4444
6960,4437,3248
6970,3034,2075
6980,4374,5094
6990,4069,4932
7000,4645,5575
7010,4106,2865
7020,4367,2930
7030,5923,4349
7040,6977,4773
7050,8211,4991
7060,1041,1429
7070,5289,4037
7080,7468,6548
7090,8754,5595
7100,855,1135
7110,1904,937
7120,6719,5590
7130,5133,3755
7140,823,803
7150,6872,4992
7160,8030,4318
7170,822,1302
7180,6677,3949
7190,7997,6485
7200,5585,5845
7210,3043,3345
7220,5629,4171
7230,3553,2138
7240,970,872
7250,6612,5013
7260,5279,2733
7270,8720,5791
7280,5763,5204
7290,3807,2814
7300,8099,5170
7310,8140,6086
7320,5256,4995
7330,5361,4158
7340,7973,5045
7350,4609,4300
7360,2979,2064
7370,8870,7397
7380,3217,3418
7390,2413,1161
7400,2276,2510
7410,10049,5485
7420,9208,6564
7430,5977,4518
7440,7014,3304
7450,5115,2623
7460,7644,3958
7470,2111,3345
7480,3499,3154
7490,3993,2454
7500,1706,1302
7510,7814,4152
7520,6659,4478
7530,5867,4306
7540,1805,1689
7550,3056,3962
7560,1646,1834
7570,1948,1393
7580,7061,3693
7590,5914,2749
7600,1891,2082
7610,2656,1774
7620,4308,4733
7630,5127,5130
7640,710,711
7650,9584,5147
7660,3052,1231
7670,661,728
7680,6828,3909
7690,7095,3677
7700,1263,1087
7710,6807,5465
7720,4118,3030
7730,2088,2595
7740,2259,1746
7750,9256,4753
7760,4110,2151
7770,3637,4369
7780,2405,1797
7790,6560,2975
7800,825,823
7810,7629,4062
7820,2462,1614
7830,3335,2974
7840,2020,1133
7850,9712,4537
7860,1775,2439
7870,7768,7981
7880,2114,2193
7890,12873,7883
7900,7846,5864
7910,11516,7012
7920,5136,3391
7930,7693,4587
7940,8080,7335
7950,876,718
7960,7166,3944
7970,3904,3467
7980,955,881
7990,9800,5939
8000,7070,6390
8010,2542,1823
8020,7264,5163
8030,7367,9166
8040,10105,8012
8050,9127,5002
8060,7074,4368
8070,6513,3498
8080,6415,3294
8090,2904,4170
8100,3383,2589
8110,8891,6200
8120,1760,1312
8130,4572,2816
8140,4297,4989
8150,1085,891
8160,8406,4365
8170,5826,3043
8180,7966,4840
8190,2682,2768
8200,1213,1039
8210,3925,4011
8220,990,809
8230,7097,4259
8240,9597,7303
8250,4661,3666
8260,4899,3573
8270,7550,3684
8280,5783,3161
8290,2915,2900
8300,5807,5601
8310,9404,5647
8320,9202,6791
8330,1167,758
8340,4362,5836
8350,7671,5403
8360,6871,3829
8370,2240,3279
8380,3294,2009
8390,10188,7598
8400,4274,4771
8410,11871,8023
8420,3616,2435
8430,5021,3185
8440,7636,4696
8450,5898,3385
8460,826,801
8470,8966,6143
8480,2279,1198
8490,3403,4417
8500,2747,2131
8510,7370,4060
8520,8139,5199
8530,5344,4299
8540,7733,6542
8550,4475,4754
8560,1143,1115
8570,9329,5394
8580,9086,7005
8590,2172,1342
8600,7670,4867
8610,1523,1069
8620,3196,2689
8630,2896,2529
8640,2953,3049
8650,3183,1966
8660,7283,4100
8670,7639,3627
8680,11144,8350
8690,5041,4734
8700,9450,5007
8710,7674,4911
8720,12155,8338
8730,11676,6161
8740,863,1026
8750,3170,2331
8760,1768,1446
8770,9190,7359
8780,9842,5976
8790,5379,3414
8800,4266,3306
8810,3415,3077
8820,7909,5257
8830,5791,5891
8840,1721,1279
8850,5231,2596
8860,2258,2069
8870,8564,6034
8880,5384,5635
8890,10234,6896
8900,3920,2213
8910,11228,8296
8920,1555,1178
8930,4622,3577
8940,3205,3387
8950,2893,2631
8960,10544,7644
8970,5352,5851
8980,8880,5236
8990,1059,1917
9000,3365,2430
9010,9383,6946
9020,6069,7378
9030,889,878
9040,8072,4770
9050,2469,1338
9060,5582,4473
9070,8291,6239
9080,7075,7318
9090,876,840
9100,4466,2960
9110,6993,4257
9120,6580,4045
9130,9604,6505
9140,8504,6953
9150,7686,4123
9160,10437,7609
9170,10456,8837
9180,7582,7520
9190,1044,961
9200,8749,5692
9210,1057,1176
9220,8556,5273
9230,9389,7692
9240,8417,6609
9250,7354,4733
9260,5990,3341
9270,8657,6828
9280,3139,2675
9290,11260,8489
9300,2658,3289
9310,2798,2026
9320,14478,8288
9330,6363,4360
9340,9502,7400
9350,10237,6121
9360,13094,6051
9370,4007,2177
9380,9328,6112
9390,6793,3327
9400,6101,3829
9410,4265,3090
9420,8100,5091
9430,12565,8118
9440,8519,5861
9450,8297,6768
9460,8940,7083
9470,6395,4379
9480,7004,4652
9490,6287,4854
9500,4789,4423
9510,12624,8372
9520,10082,8925
9530,8361,7321
9540,4632,3985
9550,12157,6441
9560,11854,6623
9570,6792,4500
9580,9334,7228
9590,8976,5048
9600,3495,3104
9610,9200,5791
9620,7971,5898
9630,11097,6361
9640,9996,6207
9650,6248,6691
9660,1359,1312
9670,1504,2338
9680,2825,1791
9690,9190,5754
9700,10703,6099
