sampleSize,value,timing,keycomp
1000,2,725299,9070
1000,3,674129,9645
1000,4,474569,8979
1000,5,456330,9175
1000,6,438472,9348
1000,7,452382,9308
1000,8,324443,9279
1000,9,342209,9243
1000,10,335594,9320
1000,11,344276,9293
1000,12,424775,9353
1000,13,441597,9406
1000,14,354716,9385
1000,15,322947,9708
1000,16,327177,10334
1000,17,259415,10294
1000,18,263652,10363
1000,19,258980,10364
1000,20,274293,10391
1000,21,271969,10390
1000,22,454794,10296
1000,23,365379,10246
1000,24,255328,10381
1000,25,394432,10374
1000,26,624332,10356
1000,27,396526,10429
1000,28,387098,10446
1000,29,382540,10395
1000,30,344281,10368
1000,31,375491,12227
1000,32,387861,13138
1000,33,479772,13414
1000,34,469684,13420
1000,35,488608,12972
1000,36,460679,13498
1000,37,441939,13132
1000,38,375566,13323
1000,39,307658,13092
1000,40,375670,13436
1000,41,266580,13259
1000,42,263823,13187
1000,43,269437,13229
1000,44,271655,13128
1000,45,266135,13047
1000,46,271721,13384
1000,47,254641,13360
1000,48,248074,13178
1000,49,331009,13363
1000,50,261006,13435
1000,51,327661,13263
1000,52,327489,13566
1000,53,345910,13202
1000,54,372850,13415
1000,55,298517,13473
1000,56,321562,12997
1000,57,367197,13578
1000,58,451972,13407
1000,59,783442,13223
1000,60,286743,13667
1000,61,271677,13169
1000,62,309673,16765
1000,63,493686,20248
1000,64,462455,20292
1000,65,423352,19671
1000,66,478130,19760
1000,67,496560,19673
1000,68,433189,19910
1000,69,402919,20231
1000,70,331344,20278
1000,71,349433,19880
1000,72,268348,20297
1000,73,308869,19844
1000,74,316554,20209
1000,75,264110,19794
1000,76,312183,19780
1000,77,324531,20077
1000,78,268406,19974
1000,79,280567,20316
1000,80,286367,20496
1000,81,306953,20618
1000,82,294839,20094
1000,83,270350,19832
1000,84,287620,19958
1000,85,286505,20237
1000,86,450201,20955
1000,87,440758,20422
1000,88,351932,19782
1000,89,328606,20300
1000,90,309754,20266
1000,91,298626,19567
1000,92,288538,19826
1000,93,377961,20583
1000,94,440694,19659
1000,95,439639,20450
1000,96,433970,19932
1000,97,246542,19694
1000,98,265104,19850
1000,99,261966,20166
1000,100,261231,20631
1000,101,251812,20143
1000,102,293661,20487
1000,103,247396,20497
1000,104,276247,20221
1000,105,297066,20150
