sampleSize,value,timing,keycomp
50000,2,46099682,677264
50000,3,38095459,687578
50000,4,38800055,710556
50000,5,30555021,728162
50000,6,31085633,712425
50000,7,27567700,718064
50000,8,30286458,723814
50000,9,36632885,728570
50000,10,35122478,731996
50000,11,26979581,735070
50000,12,19140992,750893
50000,13,18602859,758042
50000,14,15387151,761363
50000,15,21046360,762647
50000,16,14818652,764314
50000,17,18601525,765667
50000,18,21446307,766304
50000,19,20407302,768090
50000,20,25600012,768345
50000,21,22246479,770790
50000,22,21246713,770716
50000,23,19798966,771447
50000,24,17474847,827032
50000,25,17788850,870048
50000,26,15626389,870506
50000,27,22317738,872417
50000,28,18257728,872900
50000,29,18616484,872050
50000,30,18226751,874134
50000,31,19771691,873180
50000,32,16943845,874502
50000,33,13896056,876075
50000,34,22215359,876009
50000,35,17331271,875450
50000,36,13902397,876513
50000,37,15306960,875420
50000,38,18443400,876662
50000,39,15362117,878935
50000,40,16164784,879243
50000,41,14910127,879332
50000,42,17586896,878472
50000,43,16656662,877376
50000,44,15207848,877497
50000,45,17945611,878652
50000,46,18198664,878659
50000,47,13614006,877932
50000,48,17267854,920153
50000,49,17637422,1134068
50000,50,17579452,1127928
50000,51,19111384,1130304
50000,52,21936025,1133503
50000,53,18353039,1131654
50000,54,20571262,1130477
50000,55,21133323,1133209
50000,56,19532561,1134765
50000,57,16508030,1133170
50000,58,15496020,1131987
50000,59,17485998,1133417
50000,60,16021576,1131857
50000,61,23402398,1131160
50000,62,20973579,1133806
50000,63,21454784,1133258
50000,64,21773646,1131195
50000,65,22150391,1132170
50000,66,17325541,1132310
50000,67,14779934,1135638
50000,68,18638923,1134541
50000,69,17197302,1135423
50000,70,16872689,1134977
50000,71,17096492,1135568
50000,72,18990527,1137826
50000,73,16387347,1139331
50000,74,16717274,1136661
50000,75,17523122,1135415
50000,76,18024917,1135672
50000,77,14703457,1135155
50000,78,17798310,1134659
50000,79,18874098,1135587
50000,80,15532884,1135687
50000,81,15790147,1137160
50000,82,15879447,1137742
50000,83,14984233,1138308
50000,84,18852254,1135040
50000,85,17258714,1134765
50000,86,14891743,1137186
50000,87,17981071,1135456
50000,88,16102181,1136830
50000,89,15365098,1136141
50000,90,19328910,1137731
50000,91,17693208,1137120
50000,92,14730716,1137497
50000,93,18173507,1138014
50000,94,17309426,1142768
50000,95,15304114,1137308
50000,96,17582902,1134945
50000,97,15260977,1326421
50000,98,26746884,1691868
50000,99,23664264,1685714
50000,100,28758966,1691483
50000,101,24032072,1690575
50000,102,24274623,1695091
50000,103,17129889,1698071
50000,104,18163021,1694383
50000,105,19273795,1688801
50000,106,19039834,1693910
50000,107,18822750,1697177
50000,108,18980231,1697508
50000,109,17527770,1698872
50000,110,20022049,1695962
50000,111,20435942,1693265
50000,112,21623386,1691333
50000,113,21865256,1693009
50000,114,20935043,1698208
50000,115,23405240,1694125
50000,116,18553806,1694150
50000,117,22484135,1697268
50000,118,23448814,1694122
50000,119,19946077,1693142
50000,120,19602006,1697150
50000,121,18072695,1698744
50000,122,20688101,1695303
50000,123,22168306,1691148
50000,124,17397652,1697579
50000,125,19284574,1696931
50000,126,19003860,1694805
50000,127,19938974,1697407
50000,128,16472286,1701328
50000,129,19322357,1692215
50000,130,18934161,1699206
50000,131,28395344,1704963
50000,132,24715557,1694174
50000,133,20545169,1699179
50000,134,22632527,1694061
50000,135,30888651,1698154
50000,136,38056403,1698864
50000,137,27057543,1691464
50000,138,26585870,1696228
50000,139,28177375,1699308
50000,140,23397855,1697437
50000,141,18351602,1700864
50000,142,22347684,1695240
50000,143,33089966,1699032
50000,144,28698468,1696856
50000,145,29591739,1699989
50000,146,22115258,1695353
50000,147,18309321,1694814
50000,148,22696424,1694548
50000,149,23828495,1696071
50000,150,23021415,1696285
50000,151,26674981,1700211
50000,152,22786470,1696916
50000,153,22613891,1695932
50000,154,23729188,1698953
50000,155,21594657,1698664
50000,156,18637572,1694515
50000,157,18328563,1698835
50000,158,16676953,1696941
50000,159,23556226,1701572
50000,160,22429123,1695165
50000,161,19586230,1702738
50000,162,26012449,1697909
50000,163,23268566,1703579
50000,164,23514170,1698167
50000,165,24479092,1697694
50000,166,24568611,1700080
50000,167,26759044,1697405
50000,168,21205351,1694207
50000,169,23114070,1698934
50000,170,21768793,1697793
50000,171,26962385,1698655
50000,172,22893248,1698176
50000,173,25375068,1701146
50000,174,16536193,1697909
50000,175,23008156,1698763
50000,176,20027272,1698227
50000,177,24539478,1705894
50000,178,21838481,1694815
50000,179,28244224,1695591
50000,180,23986749,1707322
50000,181,20386577,1705075
50000,182,18251277,1707596
50000,183,33052875,1699111
50000,184,22191664,1700532
50000,185,20974440,1702594
50000,186,18735117,1701176
50000,187,20422911,1692033
50000,188,20113547,1702691
50000,189,19638820,1702796
50000,190,17190902,1698489
50000,191,17665866,1709586
50000,192,23614940,1693294
50000,193,22569170,1703456
50000,194,27254519,1698849
50000,195,29910120,2495849
50000,196,29020185,2872267
50000,197,25379363,2868050
50000,198,21391524,2863265
50000,199,24377545,2850717
50000,200,26828878,2863159
50000,201,27286953,2865410
50000,202,28264075,2859635
50000,203,28020314,2861396
50000,204,28007153,2857096
50000,205,29666775,2871108
50000,206,26696013,2879873
50000,207,30709946,2857772
50000,208,26930705,2860374
50000,209,23305380,2875920
50000,210,27407072,2877455
50000,211,25787550,2860934
50000,212,23606161,2857793
50000,213,23134787,2870408
50000,214,26512401,2848764
50000,215,26889922,2863914
50000,216,22021723,2862981
50000,217,26219576,2868075
50000,218,32396709,2858525
50000,219,27221823,2858368
50000,220,31980144,2877781
50000,221,32180947,2882402
50000,222,28072835,2863602
50000,223,23344163,2867340
50000,224,24161857,2857356
50000,225,28299690,2873864
50000,226,24643037,2861478
50000,227,24175995,2866480
50000,228,19096559,2858968
50000,229,24593194,2863036
50000,230,25372008,2867943
50000,231,27533637,2866394
50000,232,28994964,2863721
50000,233,30635361,2861449
50000,234,28169302,2864594
50000,235,27277408,2858196
50000,236,24322712,2869865
50000,237,23518962,2872159
50000,238,24208463,2872712
50000,239,25917835,2877140
50000,240,27078566,2857715
50000,241,38794924,2865742
50000,242,42077471,2861328
50000,243,23152553,2868076
50000,244,32130608,2861673
50000,245,25608523,2861530
50000,246,29070407,2861247
50000,247,36638926,2862678
50000,248,33936887,2855646
50000,249,34955051,2870850
50000,250,28354550,2871714
50000,251,27429674,2873491
50000,252,25377719,2870667
50000,253,24693062,2879882
50000,254,25922133,2870755
50000,255,30551666,2880170
50000,256,27045953,2865634
50000,257,27470616,2873759
50000,258,25127202,2874436
50000,259,22522976,2873746
50000,260,24911627,2864889
50000,261,25808634,2865726
50000,262,26667069,2876070
50000,263,28781545,2854899
50000,264,32217404,2863915
50000,265,29625419,2863059
50000,266,27003380,2862009
50000,267,29340397,2870293
50000,268,26322699,2857368
50000,269,29673731,2859508
50000,270,34928989,2878842
50000,271,41004185,2870069
50000,272,32333434,2856990
50000,273,25684531,2878955
50000,274,25179424,2866267
50000,275,31285754,2866873
50000,276,28233877,2870233
50000,277,28018691,2875570
50000,278,34450969,2870105
50000,279,31591055,2870578
50000,280,31431927,2875796
50000,281,33379996,2872489
50000,282,31146539,2858801
50000,283,24910756,2866290
50000,284,31724629,2872005
50000,285,30980152,2865951
50000,286,31118804,2868555
50000,287,27732095,2864055
50000,288,25361530,2871735
50000,289,27581728,2876392
50000,290,24258589,2856064
50000,291,22930504,2870184
50000,292,25639264,2883574
50000,293,26764173,2871922
50000,294,23592030,2876773
50000,295,24735717,2859275
50000,296,24791297,2870063
50000,297,22687533,2866447
50000,298,26452910,2862179
50000,299,22848328,2868048
50000,300,23919891,2859067
50000,301,24960838,2873307
50000,302,30672464,2873970
50000,303,31019437,2871804
50000,304,26541388,2861512
50000,305,24208041,2879934
50000,306,23305905,2878308
50000,307,24318653,2862623
50000,308,25873899,2875744
50000,309,23490587,2868478
50000,310,24278754,2871703
50000,311,22397948,2868284
50000,312,25772057,2869327
50000,313,26879854,2863838
50000,314,26406749,2878166
50000,315,23432819,2866638
50000,316,24668221,2873925
50000,317,25896763,2855427
50000,318,25363949,2881317
50000,319,23717214,2863534
50000,320,24150151,2858515
50000,321,28374133,2871104
50000,322,28707698,2870635
50000,323,23463719,2872183
50000,324,33328809,2871843
50000,325,32287480,2867443
50000,326,32020331,2874116
50000,327,35030497,2868283
50000,328,28624682,2852481
50000,329,29153731,2874874
50000,330,22184008,2874939
50000,331,23230843,2863059
50000,332,27559569,2862145
50000,333,23945471,2863307
50000,334,25398365,2873123
50000,335,23313769,2864741
50000,336,25984866,2879258
50000,337,27100508,2868816
50000,338,21391024,2869980
50000,339,28057959,2862231
50000,340,21022707,2877277
50000,341,26080796,2865214
50000,342,24085804,2882528
50000,343,24413717,2870735
50000,344,25616470,2872208
50000,345,25111447,2867493
50000,346,25646361,2871135
50000,347,23346340,2865046
50000,348,28441981,2857410
50000,349,30296237,2881079
50000,350,28159799,2870395
50000,351,38651100,2867407
50000,352,31057806,2872414
50000,353,23288984,2876041
50000,354,25215320,2880092
50000,355,24657469,2869101
50000,356,28798567,2865247
50000,357,27836913,2866844
50000,358,25885280,2884260
50000,359,25404913,2880989
50000,360,22839730,2873277
50000,361,24979044,2859849
50000,362,25597279,2866373
50000,363,25064849,2872161
50000,364,24614690,2870195
50000,365,25284451,2873435
50000,366,25824790,2858001
50000,367,25746055,2863974
50000,368,22002676,2864943
50000,369,24103181,2871666
50000,370,23834281,2879011
50000,371,20608085,2868712
50000,372,20516573,2859522
50000,373,21107013,2872510
