sampleSize,value,timing,keycomp
100000,2,71052780,1428603
100000,3,47840641,1456008
100000,4,44489105,1509473
100000,5,51599995,1544546
100000,6,46209726,1516202
100000,7,36860764,1529174
100000,8,35918733,1541527
100000,9,33726974,1551825
100000,10,32348606,1558942
100000,11,31634123,1566510
100000,12,30668587,1598452
100000,13,29802882,1612120
100000,14,23350525,1617323
100000,15,22880276,1623217
100000,16,23006998,1625429
100000,17,35720801,1628714
100000,18,32195133,1631624
100000,19,29296006,1633881
100000,20,24635172,1636956
100000,21,25304143,1637836
100000,22,25315580,1638744
100000,23,25126853,1640096
100000,24,23794528,1750534
100000,25,20896297,1839716
100000,26,20284064,1840011
100000,27,26571431,1839796
100000,28,32674502,1843323
100000,29,24530094,1843268
100000,30,23349891,1846486
100000,31,20964370,1845811
100000,32,21923190,1845056
100000,33,24082234,1848362
100000,34,22192982,1847277
100000,35,21096442,1848931
100000,36,23685664,1850733
100000,37,21013988,1851242
100000,38,24871378,1850155
100000,39,22003499,1852105
100000,40,23798195,1855015
100000,41,22737385,1855258
100000,42,22261223,1855160
100000,43,22437711,1857936
100000,44,21256418,1856697
100000,45,26553379,1856401
100000,46,21654288,1856183
100000,47,22512294,1859212
100000,48,24838982,1940523
100000,49,23548816,2357770
100000,50,20946478,2359460
100000,51,23389127,2363006
100000,52,21757052,2362328
100000,53,22490651,2362630
100000,54,21805197,2364749
100000,55,21483459,2360531
100000,56,22040211,2364570
100000,57,22895944,2358473
100000,58,22281708,2364963
100000,59,21204999,2365031
100000,60,20556811,2361833
100000,61,21410834,2362808
100000,62,23553547,2368495
100000,63,20772140,2366900
100000,64,27007134,2368385
100000,65,22725472,2368732
100000,66,24258432,2367702
100000,67,22028443,2367995
100000,68,21411324,2367775
100000,69,21421084,2370245
100000,70,22187040,2369195
100000,71,21276935,2368182
100000,72,23606589,2367723
100000,73,22157534,2369919
100000,74,21048938,2369061
100000,75,21437386,2372698
100000,76,21133967,2365802
100000,77,24272682,2370270
100000,78,21560141,2376942
100000,79,21588080,2371841
100000,80,21412019,2372171
100000,81,22554629,2373601
100000,82,20813549,2369344
100000,83,20747650,2371037
100000,84,21953720,2373727
100000,85,21664826,2373062
100000,86,21851265,2369688
100000,87,21979382,2370518
100000,88,22784147,2372459
100000,89,23414554,2373201
